Categorie1;Categorie2;Categorie3;Nom;Lien
ENSEIGNEMENT & FORMATION;Écoles;;;
ENSEIGNEMENT & FORMATION;Collèges et Lycées ;;;
ENSEIGNEMENT & FORMATION;Centres de formation professionnelle;;;
ENSEIGNEMENT & FORMATION;Internats / foyers d’étudiants;;;
ENSEIGNEMENT & FORMATION;Cours particuliers / soutien scolaire;;;
ENSEIGNEMENT & FORMATION;Formation;;;
ENSEIGNEMENT & FORMATION;Langues;;;
ARTS, CULTURE & CRÉATION;Artisans & créateurs;;;
ARTS, CULTURE & CRÉATION;Bijoutiers;;Aimeho Bijoux;facebook.com/feliandcie
ARTS, CULTURE & CRÉATION;Bijoutiers;;Cocoblanc Moorea;facebook.com/cocoblancmoorea
ARTS, CULTURE & CRÉATION;Bijoutiers;;SAB Tahitian Black Pearls Moorea;facebook.com/SabTahitianBlackPearlsMoorea
ARTS, CULTURE & CRÉATION;Bijoutiers;;Nancy’s Creations Moorea;facebook.com/nancyscreationsmoz
ARTS, CULTURE & CRÉATION;Paréo;;Paréo Mana;https://www.facebook.com/Pareomana
ARTS, CULTURE & CRÉATION;Paréo;;O Mille et Un Pareo;https://www.facebook.com/omilleetunpareo
ARTS, CULTURE & CRÉATION;Paréo;;Ma robe à moi;https://www.facebook.com/Marobeamoi
ARTS, CULTURE & CRÉATION;Paréo;;Tifaifai by Rava Ray;https://www.facebook.com/tifaifairavaray
ARTS, CULTURE & CRÉATION;Sculpteur;;;
ARTS, CULTURE & CRÉATION;Perles;;;
ARTS, CULTURE & CRÉATION;Tatoueur;;Lolo Tattoo;https://www.facebook.com/Lolotattootahiti
ARTS, CULTURE & CRÉATION;Tatoueur;;MATE Tattoo Moorea;https://www.facebook.com/matetattoomoorea
ARTS, CULTURE & CRÉATION;Tatoueur;;Haa’ Mana Tatau;https://www.facebook.com/haamana.tattoo.moorea
Culture & patrimoine;Associations culturelles;;;
Culture & patrimoine;Musées;;;
Culture & patrimoine;Écoles de danse tahitienne;;;
Culture & patrimoine;Groupes de chant, musique;;;
Culture & patrimoine;Sites archéologiques et légendes locales;;;
Médias & communication;Magazines / journaux / blogs;;;
Médias & communication;Photographes / vidéastes;;;
Médias & communication;Agences de communication / graphistes;;;
SANTÉ & BIEN-ÊTRE;Santé médicale;Médecins généralistes;;
SANTÉ & BIEN-ÊTRE;Santé médicale;Spécialistes (dentistes, ophtalmologistes, kinésithérapeutes, etc.);;
SANTÉ & BIEN-ÊTRE;Santé médicale;Pharmacies;;
SANTÉ & BIEN-ÊTRE;Santé médicale;Infirmiers(ères) libéraux;;
SANTÉ & BIEN-ÊTRE;Santé médicale;Laboratoires d’analyses;;
SANTÉ & BIEN-ÊTRE;Santé médicale;Hôpitaux / dispensaires;;
SANTÉ & BIEN-ÊTRE;Bien-être;Massages / spas / soins esthétiques;;
SANTÉ & BIEN-ÊTRE;Bien-être;Thérapeutes alternatifs (naturopathes, réflexologues, etc.);;
SANTÉ & BIEN-ÊTRE;Bien-être;Yoga / méditation / sophrologie;;
SANTÉ & BIEN-ÊTRE;Bien-être;Coachs bien-être / nutrition;;
HÉBERGEMENT;Hôtels;;;
HÉBERGEMENT;Pensions de famille;;;
HÉBERGEMENT;Bungalows / lodges;;;
HÉBERGEMENT;Locations saisonnières / Airbnb;;;
HÉBERGEMENT;Campings / écolodges;;;
Prestataires touristiques;Excursions lagon / baleines / requins / raies;;;
Prestataires touristiques;Randonnées / montagne / quad;;;
Prestataires touristiques;Tours culturels;;;
Prestataires touristiques;Ateliers artisanaux ouverts aux visiteurs;;;
Prestataires touristiques;Guides indépendants;;;
TRANSPORT;Transports publics & privés;Ferry (Aremiti, Terevau, etc.);;
TRANSPORT;Transports publics & privés;Taxis;;
TRANSPORT;Transports publics & privés;Location (auto, scooter, vélo, bateau);;
TRANSPORT;Logistique & fret;Transport maritime / marchandises;;
TRANSPORT;Logistique & fret;Déménagements;;
TRANSPORT;Logistique & fret;Livraison locale / messagerie;;
TRANSPORT;Infrastructures;Routes / ports / aéroport;;
TRANSPORT;Infrastructures;Stations-service;;
TRANSPORT;Infrastructures;Garages / mécaniciens / carrossiers;;
ALIMENTATION & RESTAURATION;Producteurs locaux;Maraîchers;;
ALIMENTATION & RESTAURATION;Producteurs locaux;Éleveurs / apiculteurs / pêcheurs;;
ALIMENTATION & RESTAURATION;Producteurs locaux;Coopératives agricoles;;
ALIMENTATION & RESTAURATION;Producteurs locaux;Vente directe à la ferme / marchés;;
ALIMENTATION & RESTAURATION;Alimentation & commerces;Supermarchés;;
ALIMENTATION & RESTAURATION;Alimentation & commerces;Épiceries;;
ALIMENTATION & RESTAURATION;Alimentation & commerces;Boulangeries / pâtisseries;;
ALIMENTATION & RESTAURATION;Alimentation & commerces;Poissonneries / boucheries;;
ALIMENTATION & RESTAURATION;Alimentation & commerces;Boutiques bio / diététiques;;
ALIMENTATION & RESTAURATION;Restauration;Restaurants;;
ALIMENTATION & RESTAURATION;Restauration;Snacks / roulottes;;
ALIMENTATION & RESTAURATION;Restauration;Bars / cafés;;
ALIMENTATION & RESTAURATION;Restauration;Traiteurs / food-trucks;;
ALIMENTATION & RESTAURATION;Restauration;Cuisiniers à domicile;;
LOISIRS & SPORTS;Club nautiques;Surf / paddle / wingfoil / kitesurf;;
LOISIRS & SPORTS;Club nautiques;Plongée / snorkeling;;
LOISIRS & SPORTS;Club nautiques;Pêche ;;
LOISIRS & SPORTS;Club nautiques;Jet-ski ;;
LOISIRS & SPORTS;Club nautiques;kayak;;
LOISIRS & SPORTS;Club terrestre;Randonnée / trail;;
LOISIRS & SPORTS;Club terrestre;Vélo / VTT;;
LOISIRS & SPORTS;Club terrestre;Sports collectifs (football, volley, rugby…);;
LOISIRS & SPORTS;Club terrestre;Arts martiaux / boxe / danse;;
LOISIRS & SPORTS;Activités de loisirs;Centres de loisirs ;;
LOISIRS & SPORTS;Activités de loisirs;Cinéma / soirées / événements;;
LOISIRS & SPORTS;Activités de loisirs;Ateliers artistiques;;
LOISIRS & SPORTS;Activités de loisirs;Stages vacances;;
SERVICES & ENTREPRISES;Bâtiment;Maçons / électriciens / plombiers / charpentiers;;
SERVICES & ENTREPRISES;Bâtiment;Menuisiers / ferronniers / peintres;;
SERVICES & ENTREPRISES;Bâtiment;Architectes / géomètres / ingénieurs;;
SERVICES & ENTREPRISES;Bâtiment;Entreprises de rénovation / entretien;;
SERVICES & ENTREPRISES;Services professionnels;Comptables / notaires / avocats;;
SERVICES & ENTREPRISES;Services professionnels;Consultants / formateurs;;
SERVICES & ENTREPRISES;Services professionnels;Traducteurs / rédacteurs / coachs;;
SERVICES & ENTREPRISES;Services professionnels;Agences immobilières ;;
SERVICES & ENTREPRISES;Services professionnels;Coiffure / esthétique;;
SERVICES & ENTREPRISES;Services professionnels;Couture / repassage / pressing;;
SERVICES & ENTREPRISES;Services professionnels;Aides à domicile;;
SERVICES & ENTREPRISES;Services professionnels;Services informatiques;;
ADMINISTRATION & INSTITUTIONS;Mairies (Paopao, Haapiti, Afareaitu, etc.);;;
ADMINISTRATION & INSTITUTIONS;Poste;;;
ADMINISTRATION & INSTITUTIONS;Services sociaux;;;
ADMINISTRATION & INSTITUTIONS;Déchèterie;;;
ADMINISTRATION & INSTITUTIONS;Gendarmerie;;;
ADMINISTRATION & INSTITUTIONS;Pompiers;;;
ASSOCIATIONS & VIE LOCALE;Associations sociales & solidaires;Aide aux familles / enfants;;
ASSOCIATIONS & VIE LOCALE;Associations sociales & solidaires;Aide aux personnes âgées / handicapées;;
ASSOCIATIONS & VIE LOCALE;Associations sociales & solidaires;Protection animale;;
ASSOCIATIONS & VIE LOCALE;Associations environnementales;;;
ASSOCIATIONS & VIE LOCALE;Associations culturelles & sportives;;;
ASSOCIATIONS & VIE LOCALE;Association religieuse;;;
ASSOCIATIONS & VIE LOCALE;Énergies & innovations;Énergies renouvelables (solaire, hydraulique…);;
ASSOCIATIONS & VIE LOCALE;Énergies & innovations;Entreprises éco-responsables;;
ASSOCIATIONS & VIE LOCALE;Énergies & innovations;Initiatives citoyennes vertes;;
ANIMAUX;Vétérinaires;;;
ANIMAUX;Pension animale;;;
ANIMAUX;Éducation canine;;;
